ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Last Service Approval Transfer Date,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other,Annual Monday Start Time,Annual Monday End Time,Annual Tuesday Start Time,Annual Tuesday End Time,Annual Wednesday Start Time,Annual Wednesday End Time,Annual Thursday Start Time,Annual Thursday End Time,Annual Friday Start Time,Annual Friday End Time,Annual Saturday Start Time,Annual Saturday End Time,Annual Sunday Start Time,Annual Sunday End Time,School Terms Only Session 1 Monday Start Time,School Terms Only Session 1 Monday End Time,School Terms Only Session 1 Tuesday Start Time,School Terms Only Session 1 Tuesday End Time,School Terms Only Session1 Wednesday Start Time,School Terms Only Session1 Wednesday End Time,School Terms Only Session1 Thursday Start Time,School Terms Only Session1 Thursday End Time,School Terms Only Session 1 Friday Start Time,School Terms Only Session 1 Friday End Time,School Terms Only Session 1 Saturday Start Time,School Terms Only Session 1 Saturday End Time,School Terms Only Session1 Sunday Start Time,School Terms Only Session 1 Sunday End Time,School Terms Only Session 2 Monday Start Time,School Terms Only Session 2 Monday End Time,School Terms Only Session 2 Tuesday Start Time,School Terms Only Session 2 Tuesday End Time,School Terms Only Session 2 Wednesday Start Time,School Terms Only Session 2 Wednesday End Time,School Terms Only Session 2 Thursday Start Time,School Terms Only Session2 Thursday End Time,School Terms Only Session 2 Friday Start Time,School Terms Only Session 2 Friday End Time,School Terms Only Session 2 Saturday Start Time,School Terms Only Session 2 Saturday End Time,School Terms Only Session 2 Sunday Start Time,School Terms Only Session 2 Sunday End Time,Holiday Care Monday Start Time,Holiday Care Monday End Time,Holiday Care Tuesday Start Time,Holiday Care Tuesday End Time,Holiday Care Wednesday Start Time,Holiday Care Wednesday End Time,Holiday Care Thursday Start Time,Holiday Care Thursday End Time,Holiday Care Friday Start Time,Holiday Care Friday End Time,Holiday Care Saturday Start Time,Holiday Care Saturday End Time,Holiday Care Sunday Start Time,Holiday Care Sunday End Time,Temporarily Closed,FullAddress,geometry,ClosestTrainStation,ClosestBusStation,DistanceToTrainStation_km,DistanceToBusStation_km
SE-00000002,PR-00000898,Community Kids Waterford Early Education Centre,G8 Education Limited,Centre-Based Care,8-10 Allora St,WATERFORD WEST,QLD,4133,0732009852,NA,This service is approved to provide education and care to children from 15 months up to and including school children This service is not required to comply with P3 (c) and P5 (e) of SP5.4: Child Care Centres of the Queensland Development Code (publication date 1 September 2003) This service is approved to provide a rest period from 12:30pm to 1:30pm on Monday to Friday.,60,03/11/2010,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep 2023,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Sep 2016,NA,Yes,No,Yes,No,No,No,No,06:15:00,18:15:00,06:15:00,18:15:00,06:15:00,18:15:00,06:15:00,18:15:00,06:15:00,18:15:00,NA,NA,NA,NA,15:00,18:15,15:00,18:15,15:00,18:15,15:00,18:15,15:00,18:15,NA,NA,NA,NA,06:15:00,08:30:00,06:15:00,08:30:00,06:15:00,08:30:00,06:15:00,08:30:00,06:15:00,08:30:00,NA,NA,NA,NA,06:15:00,18:15:00,06:15:00,18:15:00,06:15:00,18:15:00,06:15:00,18:15:00,06:15:00,18:15:00,NA,NA,NA,NA,No,"8-10 Allora St, WATERFORD WEST, QLD, 4133","c(153.133902919075, -27.690513207433)",Loganlea,Clarks Logan City Bus Service - Bus Depot,2.240936299273581,2.7400606936081
SE-00000003,PR-40029099,KIDVENTURE EARLY LEARNING EAGLEBY,Table Mountain Trading Pty Ltd As The Trustee for Table Mountain Trading Trust,Centre-Based Care,82 Fryar Road,EAGLEBY,QLD,4207,0738073222,NA,This service is not required to comply with P3 (c) and P5 (e) of SP5.4: Child Care Centres of the Queensland Development Code (publication date 1 September 2003) This service is approved to provide education and care to children from birth up to and including school children.,74,13/09/2010,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Apr 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May 2015,04/03/2024,Yes,No,Yes,Yes,Yes,Yes,No,06:00:00,18:00:00,06:00:00,18:00:00,06:00:00,18:00:00,06:00:00,18:00:00,06:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"82 Fryar Road, EAGLEBY, QLD, 4207","c(153.211787647201, -27.707467576353)",Beenleigh,Loganholme station,1.3219879514294788,6.463299849738857
SE-00000004,PR-00000898,Community Kids - Broadbeach Waters,G8 Education Limited,Centre-Based Care,4 Fremar Street,BROADBEACH WATERS,QLD,4217,0755920306,NA,This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 85 children. This service is approved to provide education and care to children from birth up to and including school children. This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday.,75,13/09/2010,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec 2022,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Jul 2015,NA,Yes,No,Yes,No,No,No,No,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"4 Fremar Street, BROADBEACH WATERS, QLD, 4217","c(153.410339594544, -28.024767831911)",Broadbeach North,Greyhound Bus Terminal Surfers Paradise,1.9341404635383936,2.921967569801387
SE-00000005,PR-40002184,Little Scholars School of Early Learning Burleigh Waters,The Scholars Group Pty Ltd,Centre-Based Care,143 Christine Ave,BURLEIGH WATERS,QLD,4220,0755353288,NA,"This service is approved to provide education and care to children from birth up to and including over preschool age, not including school children. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday.",106,11/07/2011,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct 2019,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,May 2013,09/12/2024,Yes,No,No,No,No,No,No,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"143 Christine Ave, BURLEIGH WATERS, QLD, 4220","c(153.431380518447, -28.082157591396)",Varsity Lakes,Greyhound Bus Terminal Surfers Paradise,3.570195106161766,8.819896225305692
SE-00000006,PR-40029104,Small World Child Care Centre,A. & K. Massouras Pty. Ltd. ATF The A Massouras Family Trust,Centre-Based Care,113-115 Pappas Way,CARRARA,QLD,4211,07 5594 1844,5594 1844,This service is approved to provide education and care to children from birth up to and including school children. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday.,92,08/08/2010,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul 2023,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul 2016,03/04/2023,Yes,No,No,Yes,Yes,Yes,No,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"113-115 Pappas Way, CARRARA, QLD, 4211","c(153.351670127991, -28.005580607804)",Nerang,Greyhound Bus Terminal Surfers Paradise,1.2873021043173436,7.408396304654159
SE-00000008,PR-40001112,Papilio Early Learning Currumbin,Affinity Education Group Pty Limited,Centre-Based Care,3 Galleon Way,CURRUMBIN WATERS,QLD,4223,0755988361,NA,This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. The service is approved to provide education and care to children from birth up to and including school children.,60,27/10/2010,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep 2021,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul 2015,13/06/2014,Yes,No,No,No,No,No,No,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"3 Galleon Way, CURRUMBIN WATERS, QLD, 4223","c(153.461609768431, -28.139363871021)",Varsity Lakes,Greyhound Bus Terminal Surfers Paradise,7.72066928397153,15.55377576948008
SE-00000009,PR-00000687,Panda's Child Care Centre,Ancom Pty Ltd,Centre-Based Care,25 Avocado Street,ELANORA,QLD,4221,0755339588,0755339588,"This service is approved to provide education and care to children from 15 months up to and including over preschool age, not including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday.",70,07/06/2011,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Nov 2024,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar 2018,NA,Yes,No,No,No,No,No,No,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,07:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"25 Avocado Street, ELANORA, QLD, 4221","c(153.449900584971, -28.128613200099)",Varsity Lakes,Greyhound Bus Terminal Surfers Paradise,6.085334087867086,14.160719497039482
SE-00000010,PR-00000321,Koala Kindy,UYI Holdings Pty Ltd,Centre-Based Care,51 Ashford Road,HELENSVALE,QLD,4212,07 5573 3907,NA,This service is approved to provide education and care to children from birth up to and including school children. This service is approved to provide a rest period from 11.30am to 1:30pm on Monday to Friday.,75,08/09/2010,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep 2019,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jan 2014,NA,Yes,No,No,No,No,No,No,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,06:30:00,18:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"51 Ashford Road, HELENSVALE, QLD, 4212","c(153.327313071735, -27.903313258618)",Helensvale,Greyhound Bus Terminal Surfers Paradise,2.7163164802552675,14.807724899096108
SE-00000011,PR-00000239,Albert Waterways Children's Centre,Albert Waterways Children's Centre Inc,Centre-Based Care,91 Sunshine Boulevard,MERMAID WATERS,QLD,4218,0755727333,NA,"This service is approved to provide education and care to children from birth up to and including over preschool age, not including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday.",47,20/11/2009,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Sep 2024,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May 2018,NA,Yes,No,No,No,No,No,No,07:45:00,17:45:00,07:45:00,17:45:00,07:45:00,17:45:00,07:45:00,17:45:00,07:45:00,17:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"91 Sunshine Boulevard, MERMAID WATERS, QLD, 4218","c(153.424346592941, -28.037025652843)",Broadbeach South,Greyhound Bus Terminal Surfers Paradise,0.683660996386232,3.794188916984755
SE-00000012,PR-40009312,The Young Ones Early Learning,WWNest Pty Ltd as Trustee for CHH Trust,Centre-Based Care,17 Cobai Drive,MUDGEERABA,QLD,4213,0404734928,NA,This service is approved to provide education and care to children from birth up to and including school children,86,06/04/2010,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar 2021,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar 2018,17/05/2019,Yes,No,Yes,No,No,No,No,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,06:30:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"17 Cobai Drive, MUDGEERABA, QLD, 4213","c(153.363195663953, -28.079324172847)",Robina,Greyhound Bus Terminal Surfers Paradise,1.7088212107842278,10.556250042467918
